arm,checkpoint,mAP@0.5:0.95,mAP@0.5,Precision@conf0.5,Recall@conf0.5,F1@conf0.5,loc_ok,cls_ok,loc_but_wrong_cls,TP,FP,FN
A0,best,0.401,0.554,0.717391304347826,0.4714285714285714,0.5689655172413792,165,124,41,165,65,185
A0,final,0.386,0.546,0.6955017301038062,0.5742857142857143,0.6291079812206573,201,135,66,201,88,149
B1,best,0.405,0.566,0.7163636363636363,0.5628571428571428,0.6304000000000001,197,145,52,197,78,153
B1,final,0.404,0.562,0.7035714285714286,0.5628571428571428,0.6253968253968254,197,144,53,197,83,153
