gt\\pred,Tomato Early blight leaf,Tomato Septoria leaf spot,Tomato leaf,Tomato leaf bacterial spot,Tomato leaf late blight,Tomato leaf mosaic virus,Tomato leaf yellow virus,Tomato mold leaf,Apple Scab Leaf,Apple leaf,Apple rust leaf,grape leaf,grape leaf black rot
Tomato Early blight leaf,3,2,0,2,2,0,0,0,0,0,0,0,0
Tomato Septoria leaf spot,1,18,0,1,0,0,0,0,0,0,0,0,0
Tomato leaf,0,0,11,0,3,0,0,0,0,0,0,1,0
Tomato leaf bacterial spot,1,5,0,1,0,0,0,1,0,0,0,0,1
Tomato leaf late blight,5,0,1,0,15,0,0,0,0,0,0,0,0
Tomato leaf mosaic virus,0,0,2,0,0,6,2,1,1,0,0,0,0
Tomato leaf yellow virus,0,0,0,0,0,0,9,0,0,0,0,0,0
Tomato mold leaf,0,0,1,0,4,2,0,5,0,0,0,0,1
Apple Scab Leaf,0,1,0,0,0,0,0,0,13,2,4,0,0
Apple leaf,0,0,0,0,0,0,0,0,0,12,0,0,0
Apple rust leaf,0,0,0,0,0,0,0,0,1,0,11,0,0
grape leaf,0,0,0,0,0,0,0,0,0,0,0,11,0
grape leaf black rot,0,0,0,0,0,0,0,0,0,0,1,0,12
