density_bucket,A0_recall,A0_tp,A0_gt,D2_recall,D2_tp,D2_gt,dRecall
1,0.9091,50,55,0.9091,50,55,0.0
2-4,0.5556,45,81,0.6049,49,81,0.0493
5-9,0.375,57,152,0.4737,72,152,0.0987
>=10,0.2097,13,62,0.2742,17,62,0.0645
