arm,mAP@0.5:0.95,mAP@0.5,Precision@conf0.5,Recall@conf0.5,F1@conf0.5,总漏检(FN),定位正确loc_ok,类正确cls_ok,定位对但类错,TP,FP
A0,0.4012,0.5543,0.7174,0.4714,0.569,185,165,124,41,165,65
D2,0.4008,0.5553,0.6861,0.5371,0.6026,162,188,141,47,188,86
