epoch,iter,learning_rate,loss,loss_cls,loss_iou,loss_dfl,loss_l1
31,0,0.001653,1.948396,1.061798,0.173351,0.945207,0.432184
31,20,0.001644,2.022198,1.0613,0.180449,0.953938,0.461399
31,40,0.001635,1.92644,1.059142,0.159335,0.922902,0.388761
32,0,0.001627,1.944263,1.061303,0.172567,0.936333,0.436034
32,20,0.001618,1.915043,1.033297,0.160754,0.915215,0.404806
32,40,0.001609,1.917876,1.010011,0.171626,0.923422,0.405949
33,0,0.001601,1.917003,1.027086,0.167256,0.932766,0.394576
33,20,0.001592,1.941981,1.079414,0.152814,0.904616,0.373143
33,40,0.001582,1.958149,1.051191,0.169937,0.972534,0.421462
34,0,0.001574,1.960461,1.01857,0.175315,0.959956,0.405268
34,20,0.001565,1.990111,1.085102,0.173752,0.969612,0.404776
34,40,0.001555,1.975557,1.104581,0.158065,0.978738,0.415191
35,0,0.001547,1.905559,1.041502,0.157424,0.908105,0.400167
35,20,0.001537,1.884807,1.010763,0.16075,0.918944,0.376886
35,40,0.001527,1.878121,1.038008,0.155392,0.901727,0.36419
36,0,0.001519,1.894739,1.038537,0.164365,0.914835,0.367849
36,20,0.001509,1.857846,1.017388,0.158464,0.907195,0.361291
36,40,0.001499,1.897702,1.005844,0.158693,0.942487,0.377917
37,0,0.00149,1.94026,1.035191,0.167003,0.954726,0.402455
37,20,0.00148,1.897708,1.058108,0.162337,0.92711,0.379415
37,40,0.00147,1.886054,1.013917,0.165273,0.926017,0.388675
38,0,0.001461,1.937332,1.047356,0.166329,0.922195,0.397832
38,20,0.001451,1.871012,1.014734,0.150634,0.915278,0.357006
38,40,0.001441,1.964933,1.086062,0.169938,0.908969,0.370715
39,0,0.001432,1.939605,1.06277,0.165763,0.884489,0.363405
39,20,0.001421,1.856707,1.007159,0.160531,0.879023,0.367688
39,40,0.001411,1.944918,1.050664,0.155873,0.954928,0.399725
40,0,0.001402,1.9183,1.039541,0.162553,0.921355,0.392257
40,20,0.001391,1.889564,0.987417,0.166056,0.930987,0.395204
40,40,0.00138,1.905482,1.034014,0.162244,0.934223,0.396615
